source_id,model,strategy,budget,best_drift,oracle_drift,recovery_ratio,hit
poly_2356,mixed_robust,random,5,0.7713980674743652,1.180574893951416,0.653408836175124,0
poly_1461,mixed_robust,random,5,0.9309797286987305,0.9309794902801514,1.000000256094341,1
poly_483,mixed_robust,random,5,0.45716285705566406,2.872988224029541,0.15912451475852737,0
poly_1700,mixed_robust,random,5,0.23824214935302734,0.8048481941223145,0.29600880152664066,0
poly_3290,mixed_robust,random,5,0.8713064193725586,1.0470232963562012,0.832174816362574,0
poly_2156,mixed_robust,random,5,0.6244139671325684,1.1633961200714111,0.5367165631377908,0
poly_3385,mixed_robust,random,5,0.6135144233703613,1.3133349418640137,0.46714238981535167,0
poly_967,mixed_robust,random,5,0.6414937973022461,1.2815966606140137,0.500542656684909,0
poly_3072,mixed_robust,random,5,0.37522029876708984,0.8925032615661621,0.42041336421410314,0
poly_3316,mixed_robust,random,5,0.2662205696105957,0.6870450973510742,0.38748631005012363,0
poly_259,mixed_robust,random,5,0.0948946475982666,0.5915954113006592,0.16040463767228152,0
poly_231,mixed_robust,random,5,0.4275777339935303,0.9480516910552979,0.45100677318299365,0
poly_2052,mixed_robust,random,5,0.6864814758300781,0.9539015293121338,0.7196565418289093,0
poly_128,mixed_robust,random,5,0.32203054428100586,0.5987436771392822,0.5378437494649213,0
poly_2200,mixed_robust,random,5,0.32503700256347656,0.9083309173583984,0.3578398536832225,0
poly_32,mixed_robust,random,5,1.5179002285003662,1.8391814231872559,0.8253129405090894,0
poly_2124,mixed_robust,random,5,0.15559148788452148,0.7076668739318848,0.21986543897418276,0
poly_1654,mixed_robust,random,5,0.2789943218231201,0.9694957733154297,0.2877726025241248,0
poly_189,mixed_robust,random,5,0.6293573379516602,0.6293575763702393,0.999999621171512,1
poly_769,mixed_robust,random,5,0.0657203197479248,0.19879889488220215,0.33058694710987824,0
poly_3655,ordinary_baseline,greedy,5,0.37386608123779297,1.0317554473876953,0.3623592026428216,0
poly_2369,ordinary_baseline,greedy,5,0.3477210998535156,1.623910665512085,0.21412575656916757,0
poly_1215,ordinary_baseline,greedy,5,0.3005199432373047,1.1054532527923584,0.2718522402265277,0
poly_4015,ordinary_baseline,greedy,5,0.43146276473999023,1.128633975982666,0.3822875918335962,0
poly_517,ordinary_baseline,greedy,5,0.7726354598999023,0.9864025115966797,0.7832861847130186,0
poly_1159,ordinary_baseline,greedy,5,0.08076596260070801,0.7617545127868652,0.10602623449545075,0
poly_2493,ordinary_baseline,greedy,5,0.329343318939209,2.248424768447876,0.14647735764206157,0
poly_2226,ordinary_baseline,greedy,5,0.05300712585449219,1.6637754440307617,0.03185954333240666,0
poly_17,ordinary_baseline,greedy,5,0.9487006664276123,3.5236318111419678,0.2692394430734094,0
poly_956,ordinary_baseline,greedy,5,1.4048078060150146,1.9090721607208252,0.7358589344703392,0
